Accession	Title	Platform	Total bases	Create date	SRA URL	SRA filename	SRA nice filename	FastQ URL	FastQ Aspera URL	FastQ filename	FastQ nice filename
SRR7939019	GSM3405627: SMC4-off cells; Saccharomyces cerevisiae; OTHER	Illumina HiSeq 2500	144037	1545897600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR793/SRR7939019/SRR7939019.sra	SRR7939019.sra	SRR7939019_GSM3405627_SMC4-off_cells_Saccharomyces_cerevisiae_OTHER.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR793/009/SRR7939019/SRR7939019_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR793/009/SRR7939019/SRR7939019_1.fastq.gz	SRR7939019_1.fastq.gz	SRR7939019_GSM3405627_SMC4-off_cells_Saccharomyces_cerevisiae_OTHER_1.fastq.gz
SRR7939019	GSM3405627: SMC4-off cells; Saccharomyces cerevisiae; OTHER	Illumina HiSeq 2500	144037	1545897600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR793/SRR7939019/SRR7939019.sra	SRR7939019.sra	SRR7939019_GSM3405627_SMC4-off_cells_Saccharomyces_cerevisiae_OTHER.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR793/009/SRR7939019/SRR7939019_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR793/009/SRR7939019/SRR7939019_2.fastq.gz	SRR7939019_2.fastq.gz	SRR7939019_GSM3405627_SMC4-off_cells_Saccharomyces_cerevisiae_OTHER_2.fastq.gz
SRR7939020	GSM3405628: SMC4-on cells; Saccharomyces cerevisiae; OTHER	Illumina HiSeq 2500	86655	1545897600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR793/SRR7939020/SRR7939020.sra	SRR7939020.sra	SRR7939020_GSM3405628_SMC4-on_cells_Saccharomyces_cerevisiae_OTHER.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR793/000/SRR7939020/SRR7939020_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR793/000/SRR7939020/SRR7939020_1.fastq.gz	SRR7939020_1.fastq.gz	SRR7939020_GSM3405628_SMC4-on_cells_Saccharomyces_cerevisiae_OTHER_1.fastq.gz
SRR7939020	GSM3405628: SMC4-on cells; Saccharomyces cerevisiae; OTHER	Illumina HiSeq 2500	86655	1545897600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR793/SRR7939020/SRR7939020.sra	SRR7939020.sra	SRR7939020_GSM3405628_SMC4-on_cells_Saccharomyces_cerevisiae_OTHER.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR793/000/SRR7939020/SRR7939020_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR793/000/SRR7939020/SRR7939020_2.fastq.gz	SRR7939020_2.fastq.gz	SRR7939020_GSM3405628_SMC4-on_cells_Saccharomyces_cerevisiae_OTHER_2.fastq.gz
SRR7939018	GSM3405626: Quiescent cells; Saccharomyces cerevisiae; OTHER	Illumina HiSeq 2500	66837	1545897600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR793/SRR7939018/SRR7939018.sra	SRR7939018.sra	SRR7939018_GSM3405626_Quiescent_cells_Saccharomyces_cerevisiae_OTHER.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR793/008/SRR7939018/SRR7939018_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR793/008/SRR7939018/SRR7939018_1.fastq.gz	SRR7939018_1.fastq.gz	SRR7939018_GSM3405626_Quiescent_cells_Saccharomyces_cerevisiae_OTHER_1.fastq.gz
SRR7939018	GSM3405626: Quiescent cells; Saccharomyces cerevisiae; OTHER	Illumina HiSeq 2500	66837	1545897600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR793/SRR7939018/SRR7939018.sra	SRR7939018.sra	SRR7939018_GSM3405626_Quiescent_cells_Saccharomyces_cerevisiae_OTHER.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR793/008/SRR7939018/SRR7939018_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR793/008/SRR7939018/SRR7939018_2.fastq.gz	SRR7939018_2.fastq.gz	SRR7939018_GSM3405626_Quiescent_cells_Saccharomyces_cerevisiae_OTHER_2.fastq.gz
SRR7939017	GSM3405625: Log cells; Saccharomyces cerevisiae; OTHER	Illumina HiSeq 2500	288436	1545897600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR793/SRR7939017/SRR7939017.sra	SRR7939017.sra	SRR7939017_GSM3405625_Log_cells_Saccharomyces_cerevisiae_OTHER.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR793/007/SRR7939017/SRR7939017_1.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR793/007/SRR7939017/SRR7939017_1.fastq.gz	SRR7939017_1.fastq.gz	SRR7939017_GSM3405625_Log_cells_Saccharomyces_cerevisiae_OTHER_1.fastq.gz
SRR7939017	GSM3405625: Log cells; Saccharomyces cerevisiae; OTHER	Illumina HiSeq 2500	288436	1545897600000	ftp://ftp-trace.ncbi.nlm.nih.gov/sra/sra-instant/reads/ByRun/sra/SRR/SRR793/SRR7939017/SRR7939017.sra	SRR7939017.sra	SRR7939017_GSM3405625_Log_cells_Saccharomyces_cerevisiae_OTHER.sra	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/SRR793/007/SRR7939017/SRR7939017_2.fastq.gz	era-fasp@fasp.sra.ebi.ac.uk:vol1/fastq/SRR793/007/SRR7939017/SRR7939017_2.fastq.gz	SRR7939017_2.fastq.gz	SRR7939017_GSM3405625_Log_cells_Saccharomyces_cerevisiae_OTHER_2.fastq.gz


